Position,E-Field,H-Field
78,-0.9822872507286887,0.18738131458572427
79,-0.9685831611286311,0.24868988716485493
80,-0.9510565162951536,0.30901699437494723
81,-0.9297764858882516,0.3681245526846774
82,-0.9048270524660199,0.4257792915650718
83,-0.8763066800438634,0.4817536741017157
84,-0.844327925502015,0.5358267949789968
85,-0.8090169943749476,0.5877852522924729
86,-0.7705132427757896,0.6374239897486893
87,-0.7289686274214121,0.684547105928688
88,-0.684547105928689,0.7289686274214112
89,-0.6374239897486896,0.7705132427757894
90,-0.5877852522924734,0.8090169943749473
91,-0.5358267949789971,0.8443279255020147
92,-0.4817536741017161,0.8763066800438631
93,-0.425779291565073,0.9048270524660194
94,-0.36812455268467786,0.9297764858882515
95,-0.3090169943749477,0.9510565162951535
96,-0.24868988716485535,0.968583161128631
97,-0.18738131458572468,0.9822872507286887
98,-0.12533323356430465,0.9921147013144778
99,-0.06279051952931326,0.9980267284282716
100,-2.4492935982947064e-16,1
